구분별,시점,경기실적SBHI
전산업,2015.01 월,77.4
전산업,2015.02 월,76.3
전산업,2015.03 월,83.4
전산업,2015.04 월,83.6
전산업,2015.05 월,86.4
전산업,2015.06 월,77.1
전산업,2015.07 월,78.8
전산업,2015.08 월,78.9
전산업,2015.09 월,84.6
전산업,2015.10 월,86.8
전산업,2015.11 월,82.8
전산업,2015.12 월,83
전산업,2016.01 월,77.4
전산업,2016.02 월,71.2
전산업,2016.03 월,85.7
전산업,2016.04 월,87.9
전산업,2016.05 월,86.6
전산업,2016.06 월,85.2
전산업,2016.07 월,84.1
전산업,2016.08 월,81.9
전산업,2016.09 월,85.1
전산업,2016.10 월,83.1
전산업,2016.11 월,80.6
전산업,2016.12 월,79.7
전산업,2017.01 월,74.5
전산업,2017.02 월,73.5
전산업,2017.03 월,85.8
전산업,2017.04 월,85.7
전산업,2017.05 월,83.4
전산업,2017.06 월,83.5
전산업,2017.07 월,83.5
전산업,2017.08 월,80.4
전산업,2017.09 월,89.6
전산업,2017.10 월,80.3
전산업,2017.11 월,86.6
전산업,2017.12 월,85.2
전산업,2018.01 월,78.1
전산업,2018.02 월,75.1
전산업,2018.03 월,85.7
전산업,2018.04 월,86.6
전산업,2018.05 월,86.3
전산업,2018.06 월,85.3
전산업,2018.07 월,80.9
전산업,2018.08 월,79.7
전산업,2018.09 월,81.6
전산업,2018.10 월,80.6
전산업,2018.11 월,81.1
전산업,2018.12 월,80.5
전산업,2019.01 월,76.4
전산업,2019.02 월,69
전산업,2019.03 월,81.1
전산업,2019.04 월,81.9
전산업,2019.05 월,81.8
전산업,2019.06 월,79.2
전산업,2019.07 월,77.6
전산업,2019.08 월,74.5
전산업,2019.09 월,78.7
전산업,2019.10 월,80.8
전산업,2019.11 월,81.1
전산업,2019.12 월,79.6
전산업,2020.01 월,76.6
전산업,2020.02 월,66.1
전산업,2020.03 월,56.8
전산업,2020.04 월,55.6
전산업,2020.05 월,58.8
전산업,2020.06 월,64.4
전산업,2020.07 월,65.9
전산업,2020.08 월,61.7
전산업,2020.09 월,66.7
전산업,2020.10 월,72.1
전산업,2020.11 월,72.5
전산업,2020.12 월,66
전산업,2021.01 월,65.9
전산업,2021.02 월,65.1
전산업,2021.03 월,74.4
전산업,2021.04 월,79.2
전산업,2021.05 월,77.9
전산업,2021.06 월,78.4
