구분별,시점,고용실적SBHI
전산업,2015.01 월,96.5
전산업,2015.02 월,94.8
전산업,2015.03 월,95.3
전산업,2015.04 월,94.9
전산업,2015.05 월,95
전산업,2015.06 월,95.3
전산업,2015.07 월,95.1
전산업,2015.08 월,96.4
전산업,2015.09 월,94.3
전산업,2015.10 월,94.4
전산업,2015.11 월,94.7
전산업,2015.12 월,95.8
전산업,2016.01 월,96.6
전산업,2016.02 월,95.6
전산업,2016.03 월,95.6
전산업,2016.04 월,95
전산업,2016.05 월,96.4
전산업,2016.06 월,95.6
전산업,2016.07 월,95.9
전산업,2016.08 월,94.9
전산업,2016.09 월,94.8
전산업,2016.10 월,93.9
전산업,2016.11 월,94
전산업,2016.12 월,94.4
전산업,2017.01 월,94.9
전산업,2017.02 월,96.1
전산업,2017.03 월,95.6
전산업,2017.04 월,94.8
전산업,2017.05 월,95.2
전산업,2017.06 월,95.1
전산업,2017.07 월,95.6
전산업,2017.08 월,95.2
전산업,2017.09 월,94.6
전산업,2017.10 월,95.7
전산업,2017.11 월,94.8
전산업,2017.12 월,95.5
전산업,2018.01 월,95
전산업,2018.02 월,97.7
전산업,2018.03 월,95.5
전산업,2018.04 월,95
전산업,2018.05 월,96.6
전산업,2018.06 월,95.2
전산업,2018.07 월,94.5
전산업,2018.08 월,94.7
전산업,2018.09 월,96.2
전산업,2018.10 월,95.6
전산업,2018.11 월,96.8
전산업,2018.12 월,97.3
전산업,2019.01 월,96.6
전산업,2019.02 월,97
전산업,2019.03 월,96.3
전산업,2019.04 월,96.3
전산업,2019.05 월,96.5
전산업,2019.06 월,98.3
전산업,2019.07 월,98.2
전산업,2019.08 월,97.6
전산업,2019.09 월,97.5
전산업,2019.10 월,97.3
전산업,2019.11 월,98
전산업,2019.12 월,97.3
전산업,2020.01 월,96.5
전산업,2020.02 월,99.4
전산업,2020.03 월,101
전산업,2020.04 월,103.3
전산업,2020.05 월,102.3
전산업,2020.06 월,103.2
전산업,2020.07 월,100.5
전산업,2020.08 월,99.9
전산업,2020.09 월,98.8
전산업,2020.10 월,97.5
전산업,2020.11 월,97.2
전산업,2020.12 월,97.3
전산업,2021.01 월,97.1
전산업,2021.02 월,96.7
전산업,2021.03 월,95.6
전산업,2021.04 월,94.5
전산업,2021.05 월,94.2
전산업,2021.06 월,94.5
전산업,2021.07 월,94
전산업,2021.08 월,95.3
전산업,2021.09 월,93.9
전산업,2021.10 월,94.3
전산업,2021.11 월,93.7
전산업,2021.12 월,94
전산업,2022.01 월,92.3
전산업,2022.02 월,93.1
전산업,2022.03 월,92
전산업,2022.04 월,92.8
소기업,2015.01 월,96
소기업,2015.02 월,94.4
소기업,2015.03 월,94.2
소기업,2015.04 월,94.5
소기업,2015.05 월,94.9
소기업,2015.06 월,95.7
소기업,2015.07 월,94.9
소기업,2015.08 월,96.1
소기업,2015.09 월,93.9
소기업,2015.10 월,94.8
소기업,2015.11 월,94.9
소기업,2015.12 월,95.7
소기업,2016.01 월,95.5
소기업,2016.02 월,94.6
소기업,2016.03 월,93.4
소기업,2016.04 월,94.7
소기업,2016.05 월,94.6
소기업,2016.06 월,95.1
소기업,2016.07 월,95.7
소기업,2016.08 월,95.4
소기업,2016.09 월,94.1
소기업,2016.10 월,94.5
소기업,2016.11 월,93.9
소기업,2016.12 월,93.8
소기업,2017.01 월,95.6
소기업,2017.02 월,95.9
소기업,2017.03 월,95.3
소기업,2017.04 월,94.7
소기업,2017.05 월,95.1
소기업,2017.06 월,95.4
소기업,2017.07 월,94.7
소기업,2017.08 월,93.8
소기업,2017.09 월,93.9
소기업,2017.10 월,95.7
소기업,2017.11 월,94
소기업,2017.12 월,95.2
소기업,2018.01 월,93.8
소기업,2018.02 월,98.1
소기업,2018.03 월,96
소기업,2018.04 월,94.9
소기업,2018.05 월,96.9
소기업,2018.06 월,96.2
소기업,2018.07 월,95.4
소기업,2018.08 월,94.7
소기업,2018.09 월,96.2
소기업,2018.10 월,96.8
소기업,2018.11 월,96.5
소기업,2018.12 월,97.7
소기업,2019.01 월,95.2
소기업,2019.02 월,97.4
소기업,2019.03 월,95.6
소기업,2019.04 월,95.7
소기업,2019.05 월,96
소기업,2019.06 월,99
소기업,2019.07 월,98.7
소기업,2019.08 월,98.6
소기업,2019.09 월,98.1
소기업,2019.10 월,97.3
소기업,2019.11 월,96.9
소기업,2019.12 월,96.7
소기업,2020.01 월,97.5
소기업,2020.02 월,98.7
소기업,2020.03 월,101.3
소기업,2020.04 월,101.6
소기업,2020.05 월,101.5
소기업,2020.06 월,101
소기업,2020.07 월,99.7
소기업,2020.08 월,98.7
소기업,2020.09 월,99.2
소기업,2020.10 월,98
소기업,2020.11 월,97.3
소기업,2020.12 월,98.1
소기업,2021.01 월,96.8
소기업,2021.02 월,96.3
소기업,2021.03 월,95.9
소기업,2021.04 월,94.4
소기업,2021.05 월,95.4
소기업,2021.06 월,94.9
소기업,2021.07 월,95.2
소기업,2021.08 월,95.7
소기업,2021.09 월,94.2
소기업,2021.10 월,93
소기업,2021.11 월,91.7
소기업,2021.12 월,93.6
소기업,2022.01 월,93
소기업,2022.02 월,93
소기업,2022.03 월,93.2
소기업,2022.04 월,93
중기업,2015.01 월,97.3
중기업,2015.02 월,95.4
중기업,2015.03 월,97
중기업,2015.04 월,95.6
중기업,2015.05 월,95
중기업,2015.06 월,94.7
중기업,2015.07 월,95.5
중기업,2015.08 월,96.8
중기업,2015.09 월,94.8
중기업,2015.10 월,93.9
중기업,2015.11 월,94.3
중기업,2015.12 월,95.8
중기업,2016.01 월,98.1
중기업,2016.02 월,97
중기업,2016.03 월,97.2
중기업,2016.04 월,95.1
중기업,2016.05 월,97.8
중기업,2016.06 월,95.9
중기업,2016.07 월,96
중기업,2016.08 월,94.6
중기업,2016.09 월,95.3
중기업,2016.10 월,93.3
중기업,2016.11 월,94.2
중기업,2016.12 월,95.1
중기업,2017.01 월,94.1
중기업,2017.02 월,96.3
중기업,2017.03 월,95.9
중기업,2017.04 월,94.9
중기업,2017.05 월,95.3
중기업,2017.06 월,94.7
중기업,2017.07 월,96.5
중기업,2017.08 월,96.6
중기업,2017.09 월,95.3
중기업,2017.10 월,95.6
중기업,2017.11 월,95.7
중기업,2017.12 월,95.8
중기업,2018.01 월,96.4
중기업,2018.02 월,97.2
중기업,2018.03 월,94.8
중기업,2018.04 월,95
중기업,2018.05 월,96.2
중기업,2018.06 월,93.9
중기업,2018.07 월,93.5
중기업,2018.08 월,94.7
중기업,2018.09 월,96.1
중기업,2018.10 월,94.3
중기업,2018.11 월,97.1
중기업,2018.12 월,96.9
