시점,구분별,경기실적SBHI,내수판매SBHI,영업이익실적 SBHI,자금사정SBHI,고용수준실적SBHI,선행종합지수,경제심리지수,KOSPI
2015.02,전산업,76.3,76.0,74.1,76.2,94.8,98.2,102.3,1985.8
2015.02,식료품,78.5,79.4,74.2,75.2,92.9,98.2,102.3,1985.8
2015.02,음료,98.7,90.9,97.6,91.4,100.5,98.2,102.3,1985.8
2015.02,섬유제품 의복제외,62.1,62.0,59.7,63.1,104.5,98.2,102.3,1985.8
2015.02,의복의복악세서리및모피제품,58.3,55.7,50.8,53.7,105.8,98.2,102.3,1985.8
2015.02,가죽가방및신발,75.4,71.7,73.6,81.3,104.4,98.2,102.3,1985.8
2015.02,목재및나무제품 가구제외,68.0,71.1,68.6,71.4,95.4,98.2,102.3,1985.8
2015.02,펄프종이및종이제품,75.9,73.3,72.3,77.4,95.7,98.2,102.3,1985.8
2015.02,인쇄및기록매체복제업,86.0,86.8,80.5,81.7,101.7,98.2,102.3,1985.8
2015.02,화학물질및화학제품 의약품제외,81.7,78.4,82.1,83.8,96.9,98.2,102.3,1985.8
2015.02,의료용물질및의약품,104.9,101.8,100.2,100.7,97.7,98.2,102.3,1985.8
2015.02,고무제품및플라스틱제품,70.8,70.7,69.4,73.9,98.5,98.2,102.3,1985.8
2015.02,비금속광물제품,75.2,73.4,72.8,77.8,99.5,98.2,102.3,1985.8
2015.02,1차금속,58.8,62.5,59.3,65.1,97.8,98.2,102.3,1985.8
2015.02,금속가공제품 기계및가구제외,70.9,69.9,69.4,73.2,95.8,98.2,102.3,1985.8
2015.02,전자부품컴퓨터영상음향및통신장비,86.6,84.8,82.8,84.1,94.3,98.2,102.3,1985.8
2015.02,의료정밀광학기기및시계,74.1,74.5,76.2,73.7,97.0,98.2,102.3,1985.8
2015.02,전기장비,74.9,74.9,71.6,74.2,94.2,98.2,102.3,1985.8
2015.02,기타기계및장비,73.2,76.3,71.0,75.7,97.1,98.2,102.3,1985.8
2015.02,자동차및트레일러,75.5,70.8,71.3,73.3,97.3,98.2,102.3,1985.8
2015.02,기타운송장비,73.0,71.8,74.0,76.8,86.5,98.2,102.3,1985.8
2015.02,가구,72.5,72.5,68.8,71.9,91.9,98.2,102.3,1985.8
2015.02,기타제품,73.5,70.0,69.9,74.1,95.3,98.2,102.3,1985.8
2015.02,비제조업,77.8,77.5,75.7,77.1,93.6,98.2,102.3,1985.8
2015.02,건설업,67.3,67.1,66.1,67.1,96.7,98.2,102.3,1985.8
2015.02,도매 및 소매업,80.2,79.8,76.9,79.7,92.2,98.2,102.3,1985.8
2015.02,운수업,80.6,79.0,80.7,78.6,95.4,98.2,102.3,1985.8
2015.02,숙박 및 음식점업,80.0,80.6,76.4,80.0,91.7,98.2,102.3,1985.8
