½ÃÁ¡,Ä§¿±¼ö·ù (US$/Åæ),È°¿±¼ö·ù (US$/Åæ),Æó°ñÆÇÁö(OCC) (US$/Åæ),Æó½Å¹®Áö(ONP) (US$/Åæ),µÎ¹ÙÀÌÀ¯ (US$/¹è·²),ºê·»Æ®À¯ (US$/¹è·²),¼­ºÎÅØ»ç½ºÁßÁúÀ¯(WTI) (US$/¹è·²),Ã¶½ºÅ©·¦ (US$/Åæ)
2015.02,717,590,258,179,55.7,58.8,47.3,331
2015.03,698,586,243,179,54.7,56.9,47.9,490
2015.04,696,602,244,178,57.7,61.1,54.6,301
2015.05,691,610,239,175,63,65.6,59.4,292
2015.06,681,619,234,178,60.8,63.8,59.8,306
2015.07,696,635,244,180,55.6,56.8,50.9,334
2015.08,695,622,269,185,47.8,48.2,42.9,286
2015.09,672,636,245,183,45.8,48.5,45.5,276
2015.1,668,633,234,179,45.8,49.3,46.3,254
2015.11,655,622,234,175,41.6,45.9,42.9,302
2015.12,649,621,222,174,34.9,38.9,37.3,290
2016.01,630,598,236,170,26.9,31.9,31.8,257
2016.02,618,581,214,164,28.9,33.5,30.6,388
2016.03,612,543,218,162,35.2,39.8,38,211
2016.04,612,523,213,164,39,43.3,41.1,212
2016.05,598,500,214,170,44.3,47.7,46.8,239
2016.06,601,504,212,174,46.3,49.9,48.9,416
2016.07,618,504,213,180,42.5,46.5,44.8,276
2016.08,632,505,220,185,43.6,47.3,44.8,244
2016.09,613,492,233,195,43.3,47.2,45.2,264
2016.1,606,487,227,203,49,51.4,49.9,265
2016.11,613,484,231,203,43.9,47.1,45.8,244
2016.12,597,491,238,205,52.1,54.9,52.2,354
2017.01,614,498,249,210,53.7,55.5,52.6,302
2017.02,596,513,252,214,54.4,56,53.5,298
2017.03,600,528,268,219,51.2,52.5,49.7,307
2017.04,612,545,297,230,52.3,53.8,51.1,396
2017.05,631,578,297,216,50.7,51.4,48.5,336
2017.06,651,597,286,196,46.5,47.6,45.2,430
2017.07,644,613,302,195,47.6,49.2,46.7,465
2017.08,621,619,304,213,50.2,51.9,48.1,343
2017.09,653,617,306,225,53.7,55.5,49.9,352
2017.1,687,631,282,216,55.5,57.7,51.6,364
2017.11,671,650,240,195,60.8,62.9,56.7,355
2017.12,733,687,229,170,61.6,64.1,58,342
2018.01,776,728,234,178,66.2,69.1,63.7,365
2018.02,820,748,257,185,62.7,65.7,62.2,379
2018.03,850,761,251,186,62.7,66.7,62.7,435
2018.04,857,758,240,161,68.3,71.8,66.3,465
2018.05,836,775,229,148,74.4,77,70,552
2018.06,859,775,232,137,73.6,75.9,67.3,376
2018.07,833,780,226,139,73.1,74.9,70.5,381
2018.08,839,774,230,146,72.5,73.8,67.9,371
2018.09,862,774,229,150,77.2,79.1,70.1,367
2018.1,863,774,216,152,79.4,80.6,70.8,361
2018.11,862,785,216,156,65.6,66,56.7,363
2018.12,857,779,213,160,57.3,57.7,49,371
2019.01,835,744,212,162,59.1,60.2,51.6,354
2019.02,794,703,208,167,64.6,64.4,55,324
2019.03,747,737,215,164,66.9,67,58.2,313
2019.04,734,661,198,148,70.9,71.6,63.9,359
2019.05,736,670,184,143,69.4,70.3,60.9,337
2019.06,730,680,167,129,61.8,63,54.7,335
2019.07,702,625,159,129,63.3,64.2,57.6,325
2019.08,646,568,141,121,59.1,59.5,54.8,383
2019.09,618,533,148,123,61.1,62.3,57,316
2019.1,601,506,156,116,59.4,59.6,54,344
2019.11,603,487,145,121,62,62.7,57.1,302
2019.12,598,475,131,106,64.9,65.2,59.8,318
2020.01,595,468,127,110,64.3,63.7,57.5,288
2020.02,600,461,128,109,54.2,55.5,50.5,314
2020.03,585,461,147,105,33.7,33.7,30.5,351
2020.04,577,459,155,112,20.4,26.6,16.7,293
2020.05,593,459,176,125,30.5,32.4,28.5,382
2020.06,597,472,202,132,40.8,40.8,38.3,489
2020.07,599,470,197,137,43.3,43.2,40.8,512
2020.08,592,454,178,146,44,45,42.4,314
2020.09,581,447,178,151,41.5,41.9,39.6,566
2020.1,589,450,174,142,40.7,41.5,39.6,522
2020.11,577,448,179,156,43.4,44,41.4,524
2020.12,598,457,176,174,49.8,50.2,47.1,413
2021.01,606,457,185,187,54.8,55.3,52.1,736
2021.02,644,476,206,191,60.9,62.3,59.1,488
2021.03,670,501,220,194,64.4,65.7,62.4,875
2021.04,729,552,241,200,62.9,65.3,61.7,446
2021.05,819,650,250,208,66.3,68.3,65.2,460
2021.06,864,721,255,218,71.6,73.4,71.4,474
2021.07,903,740,263,227,72.9,74.3,72.4,536
2021.08,906,742,277,247,69.5,70.5,67.7,630
2021.09,879,689,285,263,72.6,74.9,71.5,549
2021.1,889,667,292,280,81.6,83.8,81.2,635
2021.11,876,628,299,288,80.3,80.9,78.7,660
2021.12,822,591,310,285,73.2,74.8,71.7,600
2022.01,801,568,308,281,83.5,85.6,83,694
2022.02,756,581,299,280,92.4,94.1,91.6,1059
2022.03,777,592,284,266,110.9,112.5,108.3,586
