,시점,구분별,경기실적SBHI,고용수준실적SBHI,내수판매SBHI,수출실적SBHI,자금사정실적SBHI
0,2015.02,전산업,76.3,94.8,76,82.8,76.2
1,2015.02,식료품,78.5,92.9,79.4,82.8,75.2
2,2015.02,음료,98.7,100.5,90.9,98.3,91.4
3,2015.02,섬유제품 의복제외,62.1,104.5,62,50.8,63.1
4,2015.02,의복의복악세서리및모피제품,58.3,105.8,55.7,49.1,53.7
5,2015.02,가죽가방및신발,75.4,104.4,71.7,90.6,81.3
6,2015.02,목재및나무제품 가구제외,68,95.4,71.1,33.6,71.4
7,2015.02,펄프종이및종이제품,75.9,95.7,73.3,78.1,77.4
8,2015.02,인쇄및기록매체복제업,86,101.7,86.8,80.8,81.7
9,2015.02,화학물질및화학제품 의약품제외,81.7,96.9,78.4,91.8,83.8
10,2015.02,의료용물질및의약품,104.9,97.7,101.8,100.8,100.7
11,2015.02,고무제품및플라스틱제품,70.8,98.5,70.7,83.2,73.9
12,2015.02,비금속광물제품,75.2,99.5,73.4,89.1,77.8
13,2015.02,1차금속,58.8,97.8,62.5,71.1,65.1
14,2015.02,금속가공제품 기계및가구제외,70.9,95.8,69.9,81.3,73.2
15,2015.02,전자부품컴퓨터영상음향및통신장비,86.6,94.3,84.8,93.4,84.1
16,2015.02,의료정밀광학기기및시계,74.1,97,74.5,79.6,73.7
17,2015.02,전기장비,74.9,94.2,74.9,81,74.2
18,2015.02,기타기계및장비,73.2,97.1,76.3,78,75.7
19,2015.02,자동차및트레일러,75.5,97.3,70.8,86.4,73.3
20,2015.02,기타운송장비,73,86.5,71.8,89.8,76.8
21,2015.02,가구,72.5,91.9,72.5,73.6,71.9
22,2015.02,기타제품,73.5,95.3,70,66.4,74.1
23,2015.02,비제조업,77.8,93.6,77.5,85.3,77.1
24,2015.02,건설업,67.3,96.7,67.1,85.9,67.1
25,2015.02,도매 및 소매업,80.2,92.2,79.8,86,79.7
26,2015.02,운수업,80.6,95.4,79,106.7,78.6
